FECHA	TRM
28/02/2022	 $ 3.910,28 
1/03/2022	 $ 3.901,62 
2/03/2022	 $ 3.862,95 
3/03/2022	 $ 3.771,77 
4/03/2022	 $ 3.806,11 
7/03/2022	 $ 3.813,41 
8/03/2022	 $ 3.787,18 
9/03/2022	 $ 3.746,43 
10/03/2022	 $ 3.786,00 
11/03/2022	 $ 3.827,64 
14/03/2022	 $ 3.800,85 
15/03/2022	 $ 3.836,56 
16/03/2022	 $ 3.826,89 
17/03/2022	 $ 3.816,43 
18/03/2022	 $ 3.820,67 
21/03/2022	 $ 3.820,67 
22/03/2022	 $ 3.765,67 
23/03/2022	 $ 3.756,64 
24/03/2022	 $ 3.798,90 
25/03/2022	 $ 3.785,66 
28/03/2022	 $ 3.785,70 
29/03/2022	 $ 3.765,96 
30/03/2022	 $ 3.748,15 
31/03/2022	 $ 3.756,03 
1/04/2022	 $ 3.774,79 
1/04/2022	 ## 
4/04/2022	 $ 3.706,95 
5/04/2022	 $ 3.723,79 
6/04/2022	 $ 3.746,51 
7/04/2022	 $ 3.771,83 
8/04/2022	 $ 3.777,41 
11/04/2022	 $ 3.744,16 
12/04/2022	 $ 3.736,70 
13/04/2022	 $ 3.737,32 
14/04/2022	 $ 3.737,32 
15/04/2022	 $ 3.737,32 
18/04/2022	 $ 3.731,31 
19/04/2022	 $ 3.755,85 
20/04/2022	 $ 3.758,65 
21/04/2022	 $ 3.759,54 
22/04/2022	 $ 3.819,07 
25/04/2022	 $ 3.931,74 
26/04/2022	 $ 3.947,63 
27/04/2022	 $ 3.967,32 
28/04/2022	 $ 3.984,77 
29/04/2022	 $ 3.966,27 
2/05/2022	 $ 4.004,07 
3/05/2022	 $ 4.004,07 
